SITC2,SITC1,weight,group_id
6863,6862,0.988241746988986,18
6891,6893,0.9119221150089571,18
6899,6893,7.595900840935551e-09,18
6999,6893,0.2909396693318652,18
6891,6894,0.088077883940874,18
6999,6894,0.2485591004996752,18
6899,6895,0.9999999663447368,18
6999,6895,0.3455203233783706,18
6899,6911,7.888279056564934e-10,18
6911,6911,1.0,18
6999,6911,5.017878823759645e-10,18
6899,6912,1.715430438490749e-08,18
6912,6912,1.0,18
6999,6912,0.0580789572553787,18
6899,6913,8.116230048701632e-09,18
6998,6913,1.2243740942267312e-09,18
6999,6913,0.0569019451071137,18
6921,6921,1.0,18
6998,6921,1.8317634470152482e-09,18
6935,6933,0.9784798939742781,18
6998,6933,2.419843365198121e-09,18
6935,6934,0.0215201060257217,18
6998,6934,1.7645613692566749e-09,18
6997,6984,1.0970153839603994e-09,18
6993,6985,0.718395182669318,18
6994,6986,0.9999999297469868,18
6993,6988,0.2816048173306819,18
6994,6988,7.02530131011863e-08,18
6996,6988,1.0,18
6998,6988,2.505539645499339e-09,18
6997,6989,0.9999999989029846,18
6998,6989,0.999999990253918,18
6999,6989,3.9258085058407215e-09,18
8731,7295,0.7176793247726748,72
8748,7295,1.0,72
8731,8618,0.2823206752273251,72
8732,8618,1.0,72
7371,7152,1.0,62
7372,7152,1.0,62
7373,7152,1.0391037213868504e-10,62
7411,7191,1.0,62
7412,7191,1.0,62
7413,7191,0.5957138506549716,62
7414,7191,1.0,62
7415,7191,1.0,62
7416,7191,1.0,62
7788,7297,0.0534438052918134,62
7373,7299,0.9999999998960896,62
7413,7299,0.4042861493450283,62
7788,7299,0.9465561947081866,62
6583,6566,1.0,43
7758,6566,0.1848532014425153,43
7244,7171,1.0,43
7245,7171,1.0,43
7246,7171,1.0,43
7247,7171,1.0,43
7751,7171,0.0398345425092457,43
7751,7250,0.9601654574907542,43
7752,7250,1.0,43
7754,7250,1.0,43
7757,7250,1.0,43
7758,7250,0.8151467985574846,43
6513,6513,0.9356579073480666,37
6516,6514,0.5094630018291127,37
6513,6516,0.0643420926519333,37
6514,6516,1.0,37
6515,6516,1.0,37
6516,6516,0.4905369981708871,37
5513,5511,0.999999999999664,32
5513,5512,3.359047176935148e-13,32
5514,5512,1.0,32
5530,5512,0.0115318350659712,32
5530,5530,0.9884681649340286,32
2929,2921,0.1526198296170903,19
2929,2929,0.8473801703829096,19
7131,7114,1.0,59
7144,7114,1.0,59
7148,7114,4.771236299070305e-10,59
7149,7114,0.6267322689376257,59
7188,7114,1.9599270060519964e-09,59
7148,7116,0.9999999995228764,59
